record,donor_type,acceptor_type,n_hbonds,n_uniq_donors,n_uniq_acceptors,ratio_donor_busy,ratio_acceptor_busy
49,hydroxyl,amide_O,40,40,35,0.6250,0.5469
49,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
50,amide_donor,amide_O,27,27,27,0.4219,0.4219
50,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
50,hydroxyl,amide_O,39,39,35,0.6094,0.5469
50,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
51,amide_donor,amide_O,28,28,27,0.4375,0.4219
51,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
51,hydroxyl,amide_O,39,39,34,0.6094,0.5312
51,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
52,amide_donor,amide_O,24,24,23,0.3750,0.3594
52,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
52,hydroxyl,amide_O,38,38,34,0.5938,0.5312
52,hydroxyl,hydroxyl_O,19,19,19,0.2969,0.2969
53,amide_donor,amide_O,27,26,26,0.4062,0.4062
53,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
53,hydroxyl,amide_O,38,38,34,0.5938,0.5312
53,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
54,amide_donor,amide_O,24,24,23,0.3750,0.3594
54,amide_donor,hydroxyl_O,23,23,23,0.3594,0.3594
54,hydroxyl,amide_O,41,41,35,0.6406,0.5469
54,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
55,amide_donor,amide_O,28,27,26,0.4219,0.4062
55,amide_donor,hydroxyl_O,18,18,18,0.2812,0.2812
55,hydroxyl,amide_O,40,40,35,0.6250,0.5469
55,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
56,amide_donor,amide_O,25,25,24,0.3906,0.3750
56,amide_donor,hydroxyl_O,24,24,22,0.3750,0.3438
56,hydroxyl,amide_O,38,38,34,0.5938,0.5312
56,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
57,amide_donor,amide_O,27,27,27,0.4219,0.4219
57,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
57,hydroxyl,amide_O,37,37,34,0.5781,0.5312
57,hydroxyl,hydroxyl_O,19,19,18,0.2969,0.2812
58,amide_donor,amide_O,26,25,24,0.3906,0.3750
58,amide_donor,hydroxyl_O,24,24,23,0.3750,0.3594
58,hydroxyl,amide_O,40,40,35,0.6250,0.5469
58,hydroxyl,hydroxyl_O,18,18,17,0.2812,0.2656
59,amide_donor,amide_O,25,25,24,0.3906,0.3750
59,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
59,hydroxyl,amide_O,40,40,35,0.6250,0.5469
59,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
60,amide_donor,amide_O,25,24,25,0.3750,0.3906
60,amide_donor,hydroxyl_O,25,25,23,0.3906,0.3594
60,hydroxyl,amide_O,39,39,36,0.6094,0.5625
60,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
61,amide_donor,amide_O,26,26,25,0.4062,0.3906
61,amide_donor,hydroxyl_O,24,24,23,0.3750,0.3594
61,hydroxyl,amide_O,40,40,35,0.6250,0.5469
61,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
62,amide_donor,amide_O,29,29,28,0.4531,0.4375
62,amide_donor,hydroxyl_O,22,22,22,0.3438,0.3438
62,hydroxyl,amide_O,40,40,35,0.6250,0.5469
62,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
63,amide_donor,amide_O,28,28,27,0.4375,0.4219
63,amide_donor,hydroxyl_O,21,21,20,0.3281,0.3125
63,hydroxyl,amide_O,41,41,35,0.6406,0.5469
