donor_mol,donor_d,donor_h,acceptor_mol,acceptor_a,total_present,occupancy,continuous_max,continuous_mean,intermittent_max,intermittent_mean
17,2,13,44,1,1,0.0099,1,1.00,1,1.00
44,0,19,20,0,1,0.0099,1,1.00,1,1.00
61,0,19,6,1,9,0.0891,2,1.12,2,1.12
31,0,19,50,1,5,0.0495,3,2.50,3,2.50
52,2,13,27,0,1,0.0099,1,1.00,1,1.00
25,2,13,20,0,75,0.7426,45,18.75,45,18.75
32,0,19,2,1,39,0.3861,11,4.88,11,4.88
46,0,19,8,1,65,0.6436,15,5.91,15,5.91
15,0,19,31,0,2,0.0198,1,1.00,1,1.00
17,0,19,61,1,47,0.4653,7,2.35,7,2.35
34,2,13,29,0,3,0.0297,1,1.00,1,1.00
5,0,19,25,0,3,0.0297,2,1.50,2,1.50
30,0,19,32,0,6,0.0594,1,1.00,1,1.00
60,2,13,11,1,1,0.0099,1,1.00,1,1.00
23,0,19,17,0,10,0.0990,2,1.25,2,1.25
35,0,19,26,0,6,0.0594,2,1.20,2,1.20
50,0,19,31,1,1,0.0099,1,1.00,1,1.00
41,0,19,4,0,15,0.1485,5,2.14,5,2.14
49,0,19,7,1,3,0.0297,1,1.00,1,1.00
16,2,13,22,1,4,0.0396,1,1.00,1,1.00
42,0,19,12,1,5,0.0495,1,1.00,1,1.00
29,2,13,25,1,3,0.0297,1,1.00,1,1.00
43,2,13,31,1,1,0.0099,1,1.00,1,1.00
54,2,13,30,0,1,0.0099,1,1.00,1,1.00
37,2,13,52,1,1,0.0099,1,1.00,1,1.00
43,0,19,17,0,4,0.0396,1,1.00,1,1.00
49,2,13,43,1,1,0.0099,1,1.00,1,1.00
9,0,19,37,1,34,0.3366,17,11.33,17,11.33
14,0,19,9,0,33,0.3267,15,8.25,15,8.25
3,2,13,20,0,1,0.0099,1,1.00,1,1.00
59,2,13,56,1,1,0.0099,1,1.00,1,1.00
45,2,13,57,0,1,0.0099,1,1.00,1,1.00
53,2,13,35,0,1,0.0099,1,1.00,1,1.00
